transaction_id,invoice_date,year,month,month_name,quarter,customer_id,customer_name,customer_type,invoice_number,due_date,invoice_amount,amount_paid,outstanding_balance,payment_date,days_to_payment,payment_status,credit_days,financial_year,days_overdue,aging_bucket,collection_efficiency_%
AC000033,2023-12-31,2023,12,December,Q4,C002,Jignesh Patel,Hotel/Restaurant,MINV-00033,2024-01-15,8462.5,2290.18,6172.32,,,OverDue,15,FY2023-24,441,90+ Days,27.06
AC000034,2024-01-31,2024,1,January,Q1,C002,Jignesh Patel,Hotel/Restaurant,MINV-00034,2024-02-15,46608.35,46608.35,0.0,2024-02-10,10.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000035,2024-02-29,2024,2,February,Q1,C002,Jignesh Patel,Hotel/Restaurant,MINV-00035,2024-03-15,32083.43,32083.43,0.0,2024-03-13,13.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000036,2024-03-31,2024,3,March,Q1,C002,Jignesh Patel,Hotel/Restaurant,MINV-00036,2024-04-15,40669.04,40669.04,0.0,2024-04-11,11.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000037,2024-04-30,2024,4,April,Q2,C002,Jignesh Patel,Hotel/Restaurant,MINV-00037,2024-05-15,50423.38,50423.38,0.0,2024-05-08,8.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000038,2024-05-31,2024,5,May,Q2,C002,Jignesh Patel,Hotel/Restaurant,MINV-00038,2024-06-15,21323.27,21323.27,0.0,2024-06-11,11.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000039,2024-06-30,2024,6,June,Q2,C002,Jignesh Patel,Hotel/Restaurant,MINV-00039,2024-07-15,5667.43,5667.43,0.0,2024-07-18,18.0,Paid Late,15,FY2024-25,0,Not OverDue,100.0
AC000040,2024-07-31,2024,7,July,Q3,C002,Jignesh Patel,Hotel/Restaurant,MINV-00040,2024-08-15,40343.09,10977.36,29365.73,,,OverDue,15,FY2024-25,228,90+ Days,27.21
AC000041,2024-08-31,2024,8,August,Q3,C002,Jignesh Patel,Hotel/Restaurant,MINV-00041,2024-09-15,23643.23,23643.23,0.0,2024-09-15,15.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000042,2024-09-30,2024,9,September,Q3,C002,Jignesh Patel,Hotel/Restaurant,MINV-00042,2024-10-15,27545.63,27545.63,0.0,2024-10-10,10.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000043,2024-10-31,2024,10,October,Q4,C002,Jignesh Patel,Hotel/Restaurant,MINV-00043,2024-11-15,36797.51,36797.51,0.0,2024-11-12,12.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000044,2024-11-30,2024,11,November,Q4,C002,Jignesh Patel,Hotel/Restaurant,MINV-00044,2024-12-15,76176.1,76176.1,0.0,2024-12-13,13.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000045,2024-12-31,2024,12,December,Q4,C002,Jignesh Patel,Hotel/Restaurant,MINV-00045,2025-01-15,17756.54,17756.54,0.0,2025-01-08,8.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000046,2025-01-31,2025,1,January,Q1,C002,Jignesh Patel,Hotel/Restaurant,MINV-00046,2025-02-15,27818.65,27818.65,0.0,2025-02-12,12.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000047,2025-02-28,2025,2,February,Q1,C002,Jignesh Patel,Hotel/Restaurant,MINV-00047,2025-03-15,18377.14,18377.14,0.0,2025-03-03,3.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000048,2025-03-31,2025,3,March,Q1,C002,Jignesh Patel,Hotel/Restaurant,MINV-00048,2025-04-15,37972.38,37972.38,0.0,2025-04-13,13.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000049,2023-04-30,2023,4,April,Q2,C003,Vikas Tiwari,Hotel/Restaurant,MINV-00049,2023-05-15,27858.64,27858.64,0.0,2023-05-14,14.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000050,2023-05-31,2023,5,May,Q2,C003,Vikas Tiwari,Hotel/Restaurant,MINV-00050,2023-06-15,43887.71,43887.71,0.0,2023-06-13,13.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000051,2023-06-30,2023,6,June,Q2,C003,Vikas Tiwari,Hotel/Restaurant,MINV-00051,2023-07-15,27250.35,27250.35,0.0,2023-07-14,14.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000052,2023-07-31,2023,7,July,Q3,C003,Vikas Tiwari,Hotel/Restaurant,MINV-00052,2023-08-15,8478.75,8478.75,0.0,2023-08-17,17.0,Paid Late,15,FY2023-24,0,Not OverDue,100.0
AC000053,2023-08-31,2023,8,August,Q3,C003,Vikas Tiwari,Hotel/Restaurant,MINV-00053,2023-09-15,23681.87,23681.87,0.0,2023-09-13,13.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000054,2023-09-30,2023,9,September,Q3,C003,Vikas Tiwari,Hotel/Restaurant,MINV-00054,2023-10-15,37657.8,37657.8,0.0,2023-10-09,9.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000055,2023-10-31,2023,10,October,Q4,C003,Vikas Tiwari,Hotel/Restaurant,MINV-00055,2023-11-15,30596.2,12833.13,17763.07,,,OverDue,15,FY2023-24,502,90+ Days,41.94
AC000056,2023-11-30,2023,11,November,Q4,C003,Vikas Tiwari,Hotel/Restaurant,MINV-00056,2023-12-15,41042.12,41042.12,0.0,2023-12-16,16.0,Paid Late,15,FY2023-24,0,Not OverDue,100.0
AC000057,2023-12-31,2023,12,December,Q4,C003,Vikas Tiwari,Hotel/Restaurant,MINV-00057,2024-01-15,82050.16,82050.16,0.0,2024-01-06,6.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000058,2024-01-31,2024,1,January,Q1,C003,Vikas Tiwari,Hotel/Restaurant,MINV-00058,2024-02-15,19752.51,19752.51,0.0,2024-02-17,17.0,Paid Late,15,FY2023-24,0,Not OverDue,100.0
AC000059,2024-02-29,2024,2,February,Q1,C003,Vikas Tiwari,Hotel/Restaurant,MINV-00059,2024-03-15,31472.76,31472.76,0.0,2024-03-13,13.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000060,2024-03-31,2024,3,March,Q1,C003,Vikas Tiwari,Hotel/Restaurant,MINV-00060,2024-04-15,29287.1,8275.45,21011.65,,,OverDue,15,FY2023-24,350,90+ Days,28.26
AC000061,2024-04-30,2024,4,April,Q2,C003,Vikas Tiwari,Hotel/Restaurant,MINV-00061,2024-05-15,4992.29,4992.29,0.0,2024-05-04,4.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000062,2024-05-31,2024,5,May,Q2,C003,Vikas Tiwari,Hotel/Restaurant,MINV-00062,2024-06-15,62194.98,62194.98,0.0,2024-06-15,15.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000063,2024-06-30,2024,6,June,Q2,C003,Vikas Tiwari,Hotel/Restaurant,MINV-00063,2024-07-15,56174.23,56174.23,0.0,2024-07-10,10.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000064,2024-07-31,2024,7,July,Q3,C003,Vikas Tiwari,Hotel/Restaurant,MINV-00064,2024-08-15,29844.33,14628.91,15215.42,,,OverDue,15,FY2024-25,228,90+ Days,49.02
AC000065,2024-08-31,2024,8,August,Q3,C003,Vikas Tiwari,Hotel/Restaurant,MINV-00065,2024-09-15,41055.25,41055.25,0.0,2024-09-10,10.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000066,2024-09-30,2024,9,September,Q3,C003,Vikas Tiwari,Hotel/Restaurant,MINV-00066,2024-10-15,28768.71,10221.87,18546.84,,,OverDue,15,FY2024-25,167,90+ Days,35.53
AC000067,2024-10-31,2024,10,October,Q4,C003,Vikas Tiwari,Hotel/Restaurant,MINV-00067,2024-11-15,24650.03,24650.03,0.0,2024-11-19,19.0,Paid Late,15,FY2024-25,0,Not OverDue,100.0
AC000068,2024-11-30,2024,11,November,Q4,C003,Vikas Tiwari,Hotel/Restaurant,MINV-00068,2024-12-15,48470.88,48470.88,0.0,2024-12-12,12.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000069,2024-12-31,2024,12,December,Q4,C003,Vikas Tiwari,Hotel/Restaurant,MINV-00069,2025-01-15,23462.09,23462.09,0.0,2025-01-11,11.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000070,2025-01-31,2025,1,January,Q1,C003,Vikas Tiwari,Hotel/Restaurant,MINV-00070,2025-02-15,26252.2,26252.2,0.0,2025-02-12,12.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000071,2025-02-28,2025,2,February,Q1,C003,Vikas Tiwari,Hotel/Restaurant,MINV-00071,2025-03-15,12852.1,2757.66,10094.44,,,OverDue,15,FY2024-25,16,1-30 Days,21.46
AC000072,2025-03-31,2025,3,March,Q1,C003,Vikas Tiwari,Hotel/Restaurant,MINV-00072,2025-04-15,19497.15,19497.15,0.0,2025-04-09,9.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000073,2023-04-30,2023,4,April,Q2,C004,Harish Mishra,Wholesaler,MINV-00073,2023-05-30,26445.06,26445.06,0.0,2023-05-09,9.0,Paid,30,FY2023-24,0,Not OverDue,100.0
AC000074,2023-05-31,2023,5,May,Q2,C004,Harish Mishra,Wholesaler,MINV-00074,2023-06-30,32652.31,32652.31,0.0,2023-06-11,11.0,Paid,30,FY2023-24,0,Not OverDue,100.0
AC000075,2023-06-30,2023,6,June,Q2,C004,Harish Mishra,Wholesaler,MINV-00075,2023-07-30,44534.92,44534.92,0.0,2023-07-09,9.0,Paid,30,FY2023-24,0,Not OverDue,100.0
AC000076,2023-07-31,2023,7,July,Q3,C004,Harish Mishra,Wholesaler,MINV-00076,2023-08-30,51821.14,51821.14,0.0,2023-08-18,18.0,Paid,30,FY2023-24,0,Not OverDue,100.0
AC000077,2023-08-31,2023,8,August,Q3,C004,Harish Mishra,Wholesaler,MINV-00077,2023-09-30,49933.18,49933.18,0.0,2023-09-14,14.0,Paid,30,FY2023-24,0,Not OverDue,100.0
AC000078,2023-09-30,2023,9,September,Q3,C004,Harish Mishra,Wholesaler,MINV-00078,2023-10-30,18167.83,18167.83,0.0,2023-10-25,25.0,Paid,30,FY2023-24,0,Not OverDue,100.0
AC000079,2023-10-31,2023,10,October,Q4,C004,Harish Mishra,Wholesaler,MINV-00079,2023-11-30,11543.92,11543.92,0.0,2023-11-12,12.0,Paid,30,FY2023-24,0,Not OverDue,100.0
AC000080,2023-11-30,2023,11,November,Q4,C004,Harish Mishra,Wholesaler,MINV-00080,2023-12-30,56425.32,20874.47,35550.85,,,OverDue,30,FY2023-24,457,90+ Days,36.99
AC000081,2023-12-31,2023,12,December,Q4,C004,Harish Mishra,Wholesaler,MINV-00081,2024-01-30,16791.36,16791.36,0.0,2024-01-26,26.0,Paid,30,FY2023-24,0,Not OverDue,100.0
AC000082,2024-01-31,2024,1,January,Q1,C004,Harish Mishra,Wholesaler,MINV-00082,2024-03-01,49971.28,49971.28,0.0,2024-02-27,27.0,Paid,30,FY2023-24,0,Not OverDue,100.0
AC000083,2024-02-29,2024,2,February,Q1,C004,Harish Mishra,Wholesaler,MINV-00083,2024-03-30,15891.37,15891.37,0.0,2024-04-05,36.0,Paid Late,30,FY2023-24,0,Not OverDue,100.0
AC000084,2024-03-31,2024,3,March,Q1,C004,Harish Mishra,Wholesaler,MINV-00084,2024-04-30,34646.7,34646.7,0.0,2024-04-21,21.0,Paid,30,FY2023-24,0,Not OverDue,100.0
AC000085,2024-04-30,2024,4,April,Q2,C004,Harish Mishra,Wholesaler,MINV-00085,2024-05-30,26124.68,26124.68,0.0,2024-05-30,30.0,Paid,30,FY2024-25,0,Not OverDue,100.0
AC000086,2024-05-31,2024,5,May,Q2,C004,Harish Mishra,Wholesaler,MINV-00086,2024-06-30,47418.95,47418.95,0.0,2024-06-19,19.0,Paid,30,FY2024-25,0,Not OverDue,100.0
AC000087,2024-06-30,2024,6,June,Q2,C004,Harish Mishra,Wholesaler,MINV-00087,2024-07-30,9188.41,846.11,8342.3,,,OverDue,30,FY2024-25,244,90+ Days,9.21
AC000088,2024-07-31,2024,7,July,Q3,C004,Harish Mishra,Wholesaler,MINV-00088,2024-08-30,43480.86,11809.4,31671.46,,,OverDue,30,FY2024-25,213,90+ Days,27.16
AC000089,2024-08-31,2024,8,August,Q3,C004,Harish Mishra,Wholesaler,MINV-00089,2024-09-30,29201.6,9506.81,19694.79,,,OverDue,30,FY2024-25,182,90+ Days,32.56
AC000090,2024-09-30,2024,9,September,Q3,C004,Harish Mishra,Wholesaler,MINV-00090,2024-10-30,24776.8,24776.8,0.0,2024-10-18,18.0,Paid,30,FY2024-25,0,Not OverDue,100.0
AC000091,2024-10-31,2024,10,October,Q4,C004,Harish Mishra,Wholesaler,MINV-00091,2024-11-30,32833.71,32833.71,0.0,2024-11-27,27.0,Paid,30,FY2024-25,0,Not OverDue,100.0
AC000092,2024-11-30,2024,11,November,Q4,C004,Harish Mishra,Wholesaler,MINV-00092,2024-12-30,9930.21,9930.21,0.0,2024-12-31,31.0,Paid Late,30,FY2024-25,0,Not OverDue,100.0
AC000093,2024-12-31,2024,12,December,Q4,C004,Harish Mishra,Wholesaler,MINV-00093,2025-01-30,39587.39,7386.11,32201.28,,,OverDue,30,FY2024-25,60,31-60 Days,18.66
AC000094,2025-01-31,2025,1,January,Q1,C004,Harish Mishra,Wholesaler,MINV-00094,2025-03-02,21096.49,21096.49,0.0,2025-02-20,20.0,Paid,30,FY2024-25,0,Not OverDue,100.0
AC000095,2025-02-28,2025,2,February,Q1,C004,Harish Mishra,Wholesaler,MINV-00095,2025-03-30,19734.53,19734.53,0.0,2025-03-14,14.0,Paid,30,FY2024-25,0,Not OverDue,100.0
AC000096,2025-03-31,2025,3,March,Q1,C004,Harish Mishra,Wholesaler,MINV-00096,2025-04-30,19847.2,19847.2,0.0,2025-04-12,12.0,Paid,30,FY2024-25,0,Not OverDue,100.0
AC000097,2023-04-30,2023,4,April,Q2,C005,Ajay Mehta,Retailer,MINV-00097,2023-05-15,36697.04,36697.04,0.0,2023-05-15,15.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000098,2023-05-31,2023,5,May,Q2,C005,Ajay Mehta,Retailer,MINV-00098,2023-06-15,26148.03,26148.03,0.0,2023-06-15,15.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000099,2023-06-30,2023,6,June,Q2,C005,Ajay Mehta,Retailer,MINV-00099,2023-07-15,5941.36,5941.36,0.0,2023-07-12,12.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000100,2023-07-31,2023,7,July,Q3,C005,Ajay Mehta,Retailer,MINV-00100,2023-08-15,31719.41,31719.41,0.0,2023-08-10,10.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000101,2023-08-31,2023,8,August,Q3,C005,Ajay Mehta,Retailer,MINV-00101,2023-09-15,19538.78,19538.78,0.0,2023-09-10,10.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000102,2023-09-30,2023,9,September,Q3,C005,Ajay Mehta,Retailer,MINV-00102,2023-10-15,38512.11,38512.11,0.0,2023-10-02,2.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000103,2023-10-31,2023,10,October,Q4,C005,Ajay Mehta,Retailer,MINV-00103,2023-11-15,33677.77,33677.77,0.0,2023-11-20,20.0,Paid Late,15,FY2023-24,0,Not OverDue,100.0
AC000104,2023-11-30,2023,11,November,Q4,C005,Ajay Mehta,Retailer,MINV-00104,2023-12-15,20073.95,20073.95,0.0,2023-12-22,22.0,Paid Late,15,FY2023-24,0,Not OverDue,100.0
AC000105,2023-12-31,2023,12,December,Q4,C005,Ajay Mehta,Retailer,MINV-00105,2024-01-15,12541.1,12541.1,0.0,2024-01-10,10.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000106,2024-01-31,2024,1,January,Q1,C005,Ajay Mehta,Retailer,MINV-00106,2024-02-15,29300.17,6747.25,22552.92,,,OverDue,15,FY2023-24,410,90+ Days,23.03
AC000107,2024-02-29,2024,2,February,Q1,C005,Ajay Mehta,Retailer,MINV-00107,2024-03-15,74030.9,74030.9,0.0,2024-03-17,17.0,Paid Late,15,FY2023-24,0,Not OverDue,100.0
AC000108,2024-03-31,2024,3,March,Q1,C005,Ajay Mehta,Retailer,MINV-00108,2024-04-15,32827.83,32827.83,0.0,2024-04-16,16.0,Paid Late,15,FY2023-24,0,Not OverDue,100.0
AC000109,2024-04-30,2024,4,April,Q2,C005,Ajay Mehta,Retailer,MINV-00109,2024-05-15,25148.57,25148.57,0.0,2024-05-14,14.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000110,2024-05-31,2024,5,May,Q2,C005,Ajay Mehta,Retailer,MINV-00110,2024-06-15,61375.68,61375.68,0.0,2024-06-06,6.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000111,2024-06-30,2024,6,June,Q2,C005,Ajay Mehta,Retailer,MINV-00111,2024-07-15,19407.58,9013.43,10394.15,,,OverDue,15,FY2024-25,259,90+ Days,46.44
AC000112,2024-07-31,2024,7,July,Q3,C005,Ajay Mehta,Retailer,MINV-00112,2024-08-15,24483.5,24483.5,0.0,2024-08-11,11.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000113,2024-08-31,2024,8,August,Q3,C005,Ajay Mehta,Retailer,MINV-00113,2024-09-15,24753.73,10714.53,14039.2,,,OverDue,15,FY2024-25,197,90+ Days,43.28
AC000114,2024-09-30,2024,9,September,Q3,C005,Ajay Mehta,Retailer,MINV-00114,2024-10-15,37346.95,37346.95,0.0,2024-10-11,11.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000115,2024-10-31,2024,10,October,Q4,C005,Ajay Mehta,Retailer,MINV-00115,2024-11-15,21676.97,21676.97,0.0,2024-11-16,16.0,Paid Late,15,FY2024-25,0,Not OverDue,100.0
AC000116,2024-11-30,2024,11,November,Q4,C005,Ajay Mehta,Retailer,MINV-00116,2024-12-15,44618.23,44618.23,0.0,2024-12-13,13.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000117,2024-12-31,2024,12,December,Q4,C005,Ajay Mehta,Retailer,MINV-00117,2025-01-15,52497.65,52497.65,0.0,2025-01-11,11.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000118,2025-01-31,2025,1,January,Q1,C005,Ajay Mehta,Retailer,MINV-00118,2025-02-15,25916.29,25916.29,0.0,2025-02-10,10.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000119,2025-02-28,2025,2,February,Q1,C005,Ajay Mehta,Retailer,MINV-00119,2025-03-15,17784.86,17784.86,0.0,2025-03-11,11.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000120,2025-03-31,2025,3,March,Q1,C005,Ajay Mehta,Retailer,MINV-00120,2025-04-15,33586.64,33586.64,0.0,2025-04-03,3.0,Paid,15,FY2024-25,0,Not OverDue,100.0
AC000121,2023-04-30,2023,4,April,Q2,C006,Rajesh Mittal,Retailer,MINV-00121,2023-05-15,37161.45,2764.09,34397.36,,,OverDue,15,FY2023-24,686,90+ Days,7.44
AC000122,2023-05-31,2023,5,May,Q2,C006,Rajesh Mittal,Retailer,MINV-00122,2023-06-15,25500.27,25500.27,0.0,2023-06-18,18.0,Paid Late,15,FY2023-24,0,Not OverDue,100.0
AC000123,2023-06-30,2023,6,June,Q2,C006,Rajesh Mittal,Retailer,MINV-00123,2023-07-15,14547.17,14547.17,0.0,2023-07-09,9.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000124,2023-07-31,2023,7,July,Q3,C006,Rajesh Mittal,Retailer,MINV-00124,2023-08-15,20116.41,20116.41,0.0,2023-08-03,3.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000125,2023-08-31,2023,8,August,Q3,C006,Rajesh Mittal,Retailer,MINV-00125,2023-09-15,51673.69,51673.69,0.0,2023-09-07,7.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000126,2023-09-30,2023,9,September,Q3,C006,Rajesh Mittal,Retailer,MINV-00126,2023-10-15,32391.53,32391.53,0.0,2023-10-08,8.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000127,2023-10-31,2023,10,October,Q4,C006,Rajesh Mittal,Retailer,MINV-00127,2023-11-15,41201.38,41201.38,0.0,2023-11-10,10.0,Paid,15,FY2023-24,0,Not OverDue,100.0
AC000128,2023-11-30,2023,11,November,Q4,C006,Rajesh Mittal,Retailer,MINV-00128,2023-12-15,54599.06,54599.06,0.0,2023-12-18,18.0,Paid Late,15,FY2023-24,0,Not OverDue,100.0
AC000129,2023-12-31,2023,12,December,Q4,C006,Rajesh Mittal,Retailer,MINV-00129,2024-01-15,52591.29,13064.15,39527.14,,,OverDue,15,FY2023-24,441,90+ Days,24.84
